country,country_long,name,capacity_mw,latitude,longitude,primary_fuel,,Text
AUS,Australia,Adelaide Showgrounds,1,-34.9453,138.5882,Solar,,Australia largely depends on non-renewables for power (especially WA)
AUS,Australia,Albany Wind Farm,21.6,-35.0641,117.7977,Wind,,
AUS,Australia,Amcor Gawler,4,-34.5509,138.7659,Non-Renewables,,
AUS,Australia,Angaston,50,-34.5034,139.0246,Non-Renewables,,
AUS,Australia,Anglesea,165,-38.3861,144.1828,Non-Renewables,,
AUS,Australia,Angurugu,3.6,-13.8584,136.4209,Non-Renewables,,
AUS,Australia,Appin (Mine),55.6,-34.2082,150.7722,Non-Renewables,,
AUS,Australia,Ararat Wind Farm,240,-37.2385,143.0794,Wind,,
AUS,Australia,Argyle Diamond Mine,32,-16.7162,128.4031,Non-Renewables,,
AUS,Australia,Bairnsdale,94,-37.8429,147.5639,Non-Renewables,,
AUS,Australia,Ballarat Base Hospital,3,-37.5596,143.8469,Non-Renewables,,
AUS,Australia,Banimboola,12.85,-36.5344,147.4594,Hydro,,
AUS,Australia,Bankstown Sports Club,2,-33.9197,151.0332,Non-Renewables,,
AUS,Australia,Bannerton Solar Farm,88,-34.6899,142.7452,Solar,,
AUS,Australia,Barcaldine (Len Wishaw),37,-23.5525,145.3142,Non-Renewables,,
AUS,Australia,Barcaldine KDB,20,-23.549,145.318,Solar,,
AUS,Australia,Barcaldine YD,10.9,-23.5388,145.2732,Solar,,
AUS,Australia,Barron Gorge,60,-16.8502,145.6465,Hydro,,
AUS,Australia,Bastyan,79.9,-41.736,145.5321,Hydro,,
AUS,Australia,Bayswater,2640,-32.3953,150.9491,Non-Renewables,,
AUS,Australia,Belconnen,1,-35.2142,148.9872,Waste,,
AUS,Australia,Bell Bay (Bell Bay Three),115,-41.1429,146.903,Non-Renewables,,
AUS,Australia,Bendeela (Shoalhaven Scheme),240,-34.7337,150.4669,Hydro,,
AUS,Australia,Berrimah,10,-12.4262,130.9195,Non-Renewables,,
AUS,Australia,Berwick,7.2,-38.1197,145.2665,Waste,,
AUS,Australia,Beryl AU,87,-32.353,149.468,Solar,,
AUS,Australia,Bidyadanga,1.3,-18.6816,121.7848,Non-Renewables,,
AUS,Australia,Blayney Wind Farm,9.9,-33.6219,149.1982,Wind,,
AUS,Australia,Blowering,70,-35.3986,148.2463,Hydro,,
AUS,Australia,Blue Lake Milling Power Plant,1,-36.3164,140.7575,Non-Renewables,,
AUS,Australia,Bluff Point (Woolnorth) Wind Farm,65,-40.7207,144.6869,Wind,,
AUS,Australia,Boco Rock,113,-36.5763,149.1267,Wind,,
AUS,Australia,Bodangora Wind Farm,113,-32.4146,149.0998,Wind,,
AUS,Australia,Bogong (Mount Beauty Hydro Scheme),300,-36.8055,147.228,Hydro,,
AUS,Australia,Braemar 1,504,-27.1109,150.9053,Non-Renewables,,
AUS,Australia,Braemar 2,519,-27.1128,150.9049,Non-Renewables,,
AUS,Australia,Bremer Bay Diesel Backup,1.3,-34.4018,119.3888,Non-Renewables,,
AUS,Australia,Brewer,8.5,-23.8817,133.8281,Non-Renewables,,
AUS,Australia,Brisbane BNE,6,-27.404,153.11,Solar,,
AUS,Australia,Broadmeadows,12.2,-37.6878,144.9663,Waste,,
AUS,Australia,Broadwater,38,-29.0118,153.4335,Biomass,,
